,Solid Obstacles,,,,,Soft Obstalces,,
Instance,no. of terminals,no. of obstacle corners,avg. out of 10 ,,Instance,no. of terminals,no. of obstacle corners,avg. out of 10 
1,6,9,14.5927,,1,11,20,2.2893
2,6,9,14.5069,,2,11,20,2.3899
3,3,11,5.7151,,3,11,20,2.4882
4,6,9,15.6072,,4,11,20,2.5953
5,2,12,5.4451,,5,11,20,3.3778
6,14,28,2.7687,,6,7,4,1.9159
7,8,37,2.3163,,7,7,4,1.9159
8,6,9,2.5268,,8,7,4,1.9159
9,12,20,2.2598,,9,7,4,1.9146
10,10,48,2.4250,,10,7,4,1.8790
11,16,0,2.7321,,11,7,0,1.8472
12,16,15,2.7729,,12,20,26,3.1736
13,7,13,1.7949,,13,20,26,3.2738
14,4,10,2.2873,,14,20,26,3.3435
15,5,10,1.7653,,15,20,26,3.7501
16,16,10,2.7421,,16,20,26,3.2638
17,17,0,2.2435,,17,3,4,1.0502
18,17,6,2.2435,,18,4,4,0.8923
19,17,20,2.4800,,19,3,3,0.6667
20,20,15,2.7948,,20,3,3,0.6667
21,20,62,3.2920,,21,3,3,0.6264
22,20,119,2.6244,,22,4,4,2.2971
23,20,119,3.1028,,23,10,49,15.9897
61,60,31,5.4919,,24,10,49,18.1111
101,100,20,6.4025,,25,4,49,10.0668
201,200,20,8.9289,,26,4,49,12.0187
301,300,20,10.7897,,27,10,48,2.4192
401,400,20,12.3564,,28,16,0,2.7321
501,500,20,13.8655,,29,16,15,2.7605
1001,1000,20,19.5564,,30,16,15,2.7680
Size10,10,26,2.2042,,31,7,13,1.7949
Size20,20,26,3.3037,,32,7,13,1.7949
Size30,30,26,3.6970,,33,25,150,3.7365
Size40,40,26,4.4563,,Size10,10,30,2.1182
Size50,50,26,5.0893,,Size20,20,30,3.0295
Size60,60,26,5.2044,,Size30,30,30,3.8192
Size70,70,26,5.6775,,Size40,40,30,4.3446
Size80,80,26,5.843,,Size50,50,30,4.992
Size90,90,26,6.2298,,Size60,60,30,5.2308
Size100,100,26,6.4126,,Size70,70,30,5.6089
,,,,,Size80,80,30,5.8312
,,,,,Size90,90,30,6.1292
,,,,,Size100,100,30,6.4795
,,,,,,,,
"Note: * Instances 401,501,and 1001 have only been run once",,,,,,,,
