max,
0,10
5,10
0,1.34
,
max,
5,10
10,10
10,1.34
,
max,
0,1.34
10,1.34
10,0
0,0
,
1.5,
2.501,5.67
7.499,5.67
5,1.341
,
1.5,
3.751,7.834
6.249,7.834
5,5.671
,
1.5,
1.251,3.504
3.749,3.504
2.5,1.341
,
1.5,
6.251,3.504
8.749,3.504
7.5,1.341
,
1.5,
4.376,8.917
5.624,8.917
5,7.836
,
1.5,
5.626,6.752
6.874,6.752
6.25,5.671
,
1.5,
3.126,6.752
4.374,6.752
3.75,5.671
,
1.5,
1.876,4.587
3.124,4.587
2.5,3.506
,
1.5,
0.626,2.422
1.874,2.422
1.25,1.341
,
1.5,
3.126,2.422
4.374,2.422
3.75,1.341
,
1.5,
6.876,4.587
8.124,4.587
7.5,3.506
,
1.5,
8.126,2.422
8.75,1.341
9.374,2.422
,
1.5,
5.626,2.422
6.874,2.422
6.25,1.341
