Xcoord,Ycoord
0.112,0.922
0.2,0.906
0.232,0.798
0.436,0.884
0.47,0.774
0.592,0.712
0.692,0.606
0.678,0.4
0.32,0.376
0.234,0.25
0.176,0.602
0.092,0.518
0.252,0.578
0.284,0.496
0.53,0.346
0.638,0.456
0.57,0.642
0.384,0.572
0.774,0.722
0.842,0.67
0.872,0.594
0.812,0.194
0.708,0.126
0.65,0.034
0.518,0.052
0.36,0.058
0.274,0.064
0.142,0.11
0.192,0.136
0.136,0.15
0.466,0.364
0.42,0.472
0.448,0.566
0.38,0.692
0.276,0.782
0.3,0.914
0.444,0.93
0.568,0.918
0.78,0.914
0.884,0.922
0.936,0.8
0.92,0.75
0.936,0.66
0.836,0.486
0.788,0.378
0.634,0.314
0.628,0.37
0.738,0.478
0.492,0.286
0.812,0.278
0.924,0.12
0.892,0.066
0.928,0.058
0.96,0.274
0.964,0.444
0.908,0.4
0.778,0.03
0.062,0.154
0.048,0.058
0.036,0.598
